solvable,plan,path_length,timeout,memoryout,pruned,pruned_by_unknown,pruned_by_visited,goal_checked,expanded,generated,epistemic_calls,epistemic_call_time,epistemic_call_time_avg,epistemic_call_time_max,epistemic_call_length,epistemic_call_length_avg,epistemic_call_length_max,total_goal_size,ontic_goal_size,epistemic_goal_size,ontic_goals:,epistemic_goals,goals,functions,domain_path,problem_path,prediction_time,segment count,max segment count,avg prediction_time,max_goal_depth,num_of_unknown_goals,num_of_goal_agents,goal_agents,agents,num_of_agents,common_calls,common_total,common_max,common_average,avg_branching_factors,max_branching_factors,domain_name,problem_name,search,init_time,search_time,file_path,file_name,folder_name,running
True,['lying_own_secret a sa'],1,300,8192,0,0,0,10,1,10,11,0.01854,1.6854545454545453,15.625,20,1.8181818181818181,2,2,0,2,[],"['(= (@ep (""+ b [a]"") (= (secret_truth_value sa) 3)) ep.true)', '(= (@ep (""+ b [b]"") (= (shared_value sa) 2)) ep.true)']","['(= (@ep (""+ b [a]"") (= (secret_truth_value sa) 3)) ep.true)', '(= (@ep (""+ b [b]"") (= (shared_value sa) 2)) ep.true)']",25,.\new_syntax\grapevine\domain01.pddl,.\new_syntax\grapevine\problem100.pddl,0.0029158592224121094,36,2,8.099608951144748e-05,1,0,2,"['b', 'a']","['b', 'a', 'c']",3,0,0,0,0,9.0,9,grapevine,grapevine100,bfs,0.0,0.020225,D:/AIproject/bpwp/PJP_results\G1\bfs_grapevine_problem100.json,bfs_grapevine_problem100.json,G1,
True,"['lying_own_secret a sa', 'quiet sa', 'sharing_own_secret a sa', 'quiet sa']",4,300,8192,0,0,0,1107,246,1107,1295,1.037026,0.800792277992278,16.612,6309,4.871814671814672,6,2,0,2,[],"['(= (@ep (""+ b [a]"") (= (secret_truth_value sa) 6)) ep.true)', '(= (@ep (""+ b [b]"") (= (shared_value sa) 7)) ep.true)']","['(= (@ep (""+ b [a]"") (= (secret_truth_value sa) 6)) ep.true)', '(= (@ep (""+ b [b]"") (= (shared_value sa) 7)) ep.true)']",25,.\new_syntax\grapevine\domain01.pddl,.\new_syntax\grapevine\problem101.pddl,0.716616153717041,19485,14,3.6777836988300795e-05,1,0,2,"['a', 'b']","['a', 'b', 'c']",3,0,0,0,0,4.495934959349594,13,grapevine,grapevine101,bfs,0.006086,1.147458,D:/AIproject/bpwp/PJP_results\G2\bfs_grapevine_problem101.json,bfs_grapevine_problem101.json,G2,
True,['sharing_own_secret a sa'],1,300,8192,0,0,0,40,7,40,44,0.02133,0.48477272727272724,5.215,116,2.6363636363636362,3,2,0,2,[],"['(= (@ep (""+ b [b]"") (= (shared_value sa) 3)) ep.true)', '(= (@ep (""+ b [a]"") (= (shared_value sa) 3)) ep.true)']","['(= (@ep (""+ b [b]"") (= (shared_value sa) 3)) ep.true)', '(= (@ep (""+ b [a]"") (= (shared_value sa) 3)) ep.true)']",25,.\new_syntax\grapevine\domain01.pddl,.\new_syntax\grapevine\problem200.pddl,0.01820206642150879,282,4,6.454633482804535e-05,1,0,2,"['b', 'a']","['b', 'c', 'a']",3,0,0,0,0,5.571428571428571,9,grapevine,grapevine200,bfs,0.005484,0.025884,D:/AIproject/bpwp/PJP_results\G3\bfs_grapevine_problem200.json,bfs_grapevine_problem200.json,G3,
True,"['sharing_own_secret a sa', 'quiet sa', 'sharing_own_secret a sa', 'quiet sa']",4,300,8192,0,0,0,3843,840,3843,4493,3.589857,0.7989888715780102,16.121,25257,5.621411083908302,6,3,1,2,['(= (shared_loc sa) 0)'],"['(= (@ep (""+ b [a] + b [b]"") (= (shared_value sa) 6)) ep.true)', '(= (@ep (""+ b [a]"") (= (secret_truth_value sa) 6)) ep.true)']","['(= (shared_loc sa) 0)', '(= (@ep (""+ b [a] + b [b]"") (= (shared_value sa) 6)) ep.true)', '(= (@ep (""+ b [a]"") (= (secret_truth_value sa) 6)) ep.true)']",25,.\new_syntax\grapevine\domain01.pddl,.\new_syntax\grapevine\problem202.pddl,2.467407464981079,51214,14,4.8178378275102104e-05,2,0,2,"['b', 'a']","['c', 'b', 'a']",3,0,0,0,0,4.5738095238095235,13,grapevine,grapevine202,bfs,0.005168,3.973258,D:/AIproject/bpwp/PJP_results\G4\bfs_grapevine_problem202.json,bfs_grapevine_problem202.json,G4,
True,"['move_right c', 'sharing_own_secret a sa', 'quiet sa', 'sharing_own_secret a sa', 'quiet sa', 'move_right b', 'sharing_others_secret b sa']",7,300,8192,0,0,0,92422,75978,92422,133260,198.061143,1.4862760243133721,778.701,1028452,7.717634699084496,7,2,0,2,[],"['(= (@ep (""+ b [c]"") (= (shared_value sa) 9)) ep.true)', '(= (@ep (""+ b [a] + b [c]"") (= (shared_value sa) 9)) ep.unknown)']","['(= (@ep (""+ b [c]"") (= (shared_value sa) 9)) ep.true)', '(= (@ep (""+ b [a] + b [c]"") (= (shared_value sa) 9)) ep.unknown)']",25,.\new_syntax\grapevine\domain01.pddl,.\new_syntax\grapevine\problem301.pddl,143.17110657691956,3447275,20,4.1531675476113614e-05,2,1,2,"['c', 'a']","['b', 'c', 'a']",3,0,0,0,0,4.656927005185712,15,grapevine,grapevine301,bfs,0.005588,225.005292,D:/AIproject/bpwp/PJP_results\G5\bfs_grapevine_problem301.json,bfs_grapevine_problem301.json,G5,
True,"['sharing_own_secret a sa', 'quiet sa', 'move_right c', 'sharing_own_secret a sa', 'quiet sa', 'move_right b', 'sharing_others_secret b sa']",7,300,8192,0,0,0,92422,81221,92422,135201,203.123226,1.50237961257683,795.7220000000001,1043980,7.721688449049933,7,2,0,2,[],"['(= (@ep (""+ b [c]"") (= (shared_value sa) 9)) ep.true)', '(= (@ep (""+ b [a] + b [c]"") (= (shared_value sa) 9)) ep.false)']","['(= (@ep (""+ b [c]"") (= (shared_value sa) 9)) ep.true)', '(= (@ep (""+ b [a] + b [c]"") (= (shared_value sa) 9)) ep.false)']",25,.\new_syntax\grapevine\domain01.pddl,.\new_syntax\grapevine\problem302.pddl,149.09982204437256,3475508,20,4.2900152163186666e-05,2,0,2,"['a', 'c']","['b', 'a', 'c']",3,0,0,0,0,4.662858127824085,15,grapevine,grapevine302,bfs,0.006449,230.193823,D:/AIproject/bpwp/PJP_results\G6\bfs_grapevine_problem302.json,bfs_grapevine_problem302.json,G6,
False,[],7,900,8192,0,0,0,309578,60367,309578,359095,436.676133,1.21604626352358,3124.9060000000004,3045122,8.479989974797755,9,2,0,2,[],"['(= (@ep (""+ b [c]"") (= (shared_value sa) 14)) ep.true)', '(= (@ep (""+ b [b]"") (= (shared_value sa) 14)) ep.true)']","['(= (@ep (""+ b [c]"") (= (shared_value sa) 14)) ep.true)', '(= (@ep (""+ b [b]"") (= (shared_value sa) 14)) ep.true)']",25,.\new_syntax\grapevine\domain02.pddl,.\new_syntax\grapevine\problem303.pddl,293.2668960094452,5386093,11,5.444891055714136e-05,1,0,2,"['b', 'c']","['b', 'a', 'c']",3,0,0,0,0,5.12824887769808,24,grapevine,grapevine303,bfs,0.010997,476.311485,D:/AIproject/bpwp/PJP_results\G7\bfs_grapevine_problem303.json,bfs_grapevine_problem303.json,G7,MEMORYOUT
False,[],0,300,8192,0,0,0,93,93,93,93,0.023431,0.2519462365591398,15.793000000000001,743,7.989247311827957,9,1,0,1,[],"['(= (@ep (""+ b [a]"") (= (num c) 5)) ep.true)']","['(= (@ep (""+ b [a]"") (= (num c) 5)) ep.true)']",3,.\new_syntax\number\domain01.pddl,.\new_syntax\number\problem101.pddl,0.023431062698364258,565,10,4.1470907430733197e-05,1,0,1,['a'],"['b', 'a']",2,0,0,0,0,1.3333333333333333,2,number,number_101,bfs,0.339128,0.023431,D:/AIproject/bpwp/PJP_results\N1\bfs_number_problem101.json,bfs_number_problem101.json,N1,
True,"['single_peek a', 'return a', 'single_peek a', 'return a']",4,300,8192,0,0,0,13,9,13,13,0.010506,0.8081538461538462,10.506,47,3.6153846153846154,5,1,0,1,[],"['(= (@ep (""+ b [a]"") (= (num c) 9)) ep.true)']","['(= (@ep (""+ b [a]"") (= (num c) 9)) ep.true)']",3,.\new_syntax\number\domain01.pddl,.\new_syntax\number\problem103.pddl,0.010506153106689453,37,5,0.0002839500839645798,1,0,1,['a'],"['b', 'a']",2,0,0,0,0,1.3333333333333333,2,number,number_103,bfs,0.319186,0.010506,D:/AIproject/bpwp/PJP_results\N2\bfs_number_problem103.json,bfs_number_problem103.json,N2,
True,"['single_peek a', 'return a', 'single_peek a', 'return a', 'single_peek b']",5,300,8192,0,0,0,22,14,22,22,0.016065,0.7302272727272726,9.027000000000001,102,4.636363636363637,6,2,0,2,[],"['(= (@ep (""+ b [a] + b [b]"") (= (num c) 11)) ep.true)', '(= (@ep (""+ b [b] + b [a]"") (= (num c) 11)) ep.true)']","['(= (@ep (""+ b [a] + b [b]"") (= (num c) 11)) ep.true)', '(= (@ep (""+ b [b] + b [a]"") (= (num c) 11)) ep.true)']",3,.\new_syntax\number\domain01.pddl,.\new_syntax\number\problem201.pddl,0.016064882278442383,335,7,4.7954872472962334e-05,2,0,2,"['a', 'b']","['a', 'b']",2,0,0,0,0,1.5,2,number,number_201,bfs,0.327642,0.016065,D:/AIproject/bpwp/PJP_results\N3\bfs_number_problem201.json,bfs_number_problem201.json,N3,
