solvable,plan,path_length,expanded,generated,epistemic_calls,epistemic_call_time,epistemic_call_time_avg,AT_p,epistemic_call_length,epistemic_call_length_avg,epistemic_call_length_max,total_goal_size,ontic_goal_size,epistemic_goal_size,ontic_goals:,epistemic_goals,goals,functions,domain_path,problem_path,prediction_time,segment count,max segment count,avg prediction_time,max_goal_depth,num_of_unknown_goals,num_of_goal_agents,goal_agents,agents,num_of_agents,common_calls,common_total,common_max,common_average,avg_branching_factors,max_branching_factors,domain_name,problem_name,search,init_time,search_time,file_path,file_name,folder_name
FALSE,[],0,93,93,93,0.036514,0.393,0.000331,743,7.989247312,4,1,0,1,[],"['(= (@ep (""+ b [a]"") (= (num c) 5)) ep.true)']","['(= (@ep (""+ b [a]"") (= (num c) 5)) ep.true)']",3,new_syntax/number/domain01.pddl,new_syntax/number/problem101.pddl,0.030820131,93,1,0.000331399,1,0,1,['a'],"['b', 'a']",2,0,0,0,0,1.333333333,2,number,number_101,bfs,0.235009,0.051,/home/ghu2004/codes/research/PJP_results_linux/N1/bfs_number_problem101.json,bfs_number_problem101.json,N1
TRUE,"['single_peek a', 'return a', 'single_peek a', 'return a']",4,9,13,13,0.002495,0.192,0.000148,47,3.615384615,4,1,0,1,[],"['(= (@ep (""+ b [a]"") (= (num c) 9)) ep.true)']","['(= (@ep (""+ b [a]"") (= (num c) 9)) ep.true)']",3,new_syntax/number/domain01.pddl,new_syntax/number/problem103.pddl,0.001922369,13,1,0.000147875,1,0,1,['a'],"['b', 'a']",2,0,0,0,0,1.333333333,2,number,number_103,bfs,0.238566,0.005,/home/ghu2004/codes/research/PJP_results_linux/N2/bfs_number_problem103.json,bfs_number_problem103.json,N2
TRUE,"['single_peek a', 'return a', 'single_peek a', 'return a', 'single_peek b']",5,14,22,22,0.017311,0.787,0.000619,102,4.636363636,6,2,0,2,[],"['(= (@ep (""+ b [a] + b [b]"") (= (num c) 11)) ep.true)', '(= (@ep (""+ b [b] + b [a]"") (= (num c) 11)) ep.true)']","['(= (@ep (""+ b [a] + b [b]"") (= (num c) 11)) ep.true)', '(= (@ep (""+ b [b] + b [a]"") (= (num c) 11)) ep.true)']",3,new_syntax/number/domain01.pddl,new_syntax/number/problem201.pddl,0.013618469,88,1,0.000154755,2,0,2,"['b', 'a']","['b', 'a']",2,0,0,0,0,1.5,2,number,number_201,bfs,0.240356,0.021,/home/ghu2004/codes/research/PJP_results_linux/N3/bfs_number_problem201.json,bfs_number_problem201.json,N3
FALSE,[],0,93,93,93,0.130364,1.402,0.001182,743,7.989247312,10,2,0,2,[],"['(= (@ep (""+ b [a] + b [b]"") (= (num c) 13)) ep.true)', '(= (@ep (""+ b [b] + b [a]"") (= (num c) 13)) ep.true)']","['(= (@ep (""+ b [a] + b [b]"") (= (num c) 13)) ep.true)', '(= (@ep (""+ b [b] + b [a]"") (= (num c) 13)) ep.true)']",3,new_syntax/number/domain01.pddl,new_syntax/number/problem202.pddl,0.109926701,372,1,0.000295502,2,0,2,"['b', 'a']","['b', 'a']",2,0,0,0,0,1.333333333,2,number,number_202,bfs,0.24171,0.145,/home/ghu2004/codes/research/PJP_results_linux/N4/bfs_number_problem202.json,bfs_number_problem202.json,N4
TRUE,"['single_peek a', 'return a', 'single_peek a', 'return a', 'single_peek b', 'return b', 'single_peek b', 'return b']",8,48,67,67,0.08629,1.288,0.001077,483,7.208955224,9,2,0,2,[],"['(= (@ep (""+ b [a] + b [b]"") (= (num c) 17)) ep.true)', '(= (@ep (""+ b [b] + b [a]"") (= (num c) 17)) ep.true)']","['(= (@ep (""+ b [a] + b [b]"") (= (num c) 17)) ep.true)', '(= (@ep (""+ b [b] + b [a]"") (= (num c) 17)) ep.true)']",3,new_syntax/number/domain01.pddl,new_syntax/number/problem204.pddl,0.072137594,268,1,0.00026917,2,0,2,"['b', 'a']","['b', 'a']",2,0,0,0,0,1.375,2,number,number_204,bfs,0.238032,0.096,/home/ghu2004/codes/research/PJP_results_linux/N5/bfs_number_problem204.json,bfs_number_problem204.json,N5
TRUE,"['single_peek a', 'return a', 'single_peek a', 'return a', 'single_peek a', 'return a']",6,21,29,29,0.003301,0.114,0.000064,151,5.206896552,6,1,0,1,[],"['(= (@ep (""+ b [a]"") (= (num c) 37)) ep.true)']","['(= (@ep (""+ b [a]"") (= (num c) 37)) ep.true)']",3,new_syntax/number/domain01.pddl,new_syntax/number/problem301.pddl,0.001842737,29,1,6.35E-05,1,0,1,['a'],"['b', 'a']",2,0,0,0,0,1.333333333,2,number,number_301,bfs,0.247753,0.008,/home/ghu2004/codes/research/PJP_results_linux/N6/bfs_number_problem301.json,bfs_number_problem301.json,N6
TRUE,"['single_peek a', 'return a']",2,3,5,5,0.000426,0.085,0.000046,11,2.2,2,1,0,1,[],"['(= (@ep (""+ b [a]"") (= (num c) 9)) ep.true)']","['(= (@ep (""+ b [a]"") (= (num c) 9)) ep.true)']",3,new_syntax/number/domain01.pddl,new_syntax/number/problem401.pddl,0.000232458,5,1,4.65E-05,1,0,1,['a'],"['a', 'b']",2,0,0,0,0,1.333333333,2,number,number_401,bfs,0.239379,0.002,/home/ghu2004/codes/research/PJP_results_linux/N7/bfs_number_problem401.json,bfs_number_problem401.json,N7
TRUE,"['single_peek a', 'return a', 'single_peek a', 'return a', 'single_peek a', 'return a']",6,21,29,29,0.012026,0.415,0.000293,151,5.206896552,6,1,0,1,[],"['(= (@ep (""+ b [a]"") (= (num c) 0)) ep.true)']","['(= (@ep (""+ b [a]"") (= (num c) 0)) ep.true)']",3,new_syntax/number/domain01.pddl,new_syntax/number/problem501.pddl,0.008502483,29,1,0.000293189,1,0,1,['a'],"['a', 'b']",2,0,0,0,0,1.333333333,2,number,number_501,bfs,0.24295,0.017,/home/ghu2004/codes/research/PJP_results_linux/N8/bfs_number_problem501.json,bfs_number_problem501.json,N8
TRUE,['lying_own_secret a sa'],1,1,10,11,0.008442,0.767,0.000582,20,1.818181818,2,2,0,2,[],"['(= (@ep (""+ b [a]"") (= (secret_truth_value sa) 4)) ep.true)', '(= (@ep (""+ b [b]"") (= (shared_value sa) 2)) ep.true)']","['(= (@ep (""+ b [a]"") (= (secret_truth_value sa) 4)) ep.true)', '(= (@ep (""+ b [b]"") (= (shared_value sa) 2)) ep.true)']",25,new_syntax/grapevine/domain01.pddl,new_syntax/grapevine/problem100.pddl,0.006407022,36,2,0.000177973,1,0,2,"['a', 'b']","['b', 'a', 'c']",3,0,0,0,0,9,9,grapevine,grapevine100,bfs,0.008185,0.011,/home/ghu2004/codes/research/PJP_results_linux/G1/bfs_grapevine_problem100.json,bfs_grapevine_problem100.json,G1
TRUE,"['lying_own_secret a sa', 'quiet sa', 'sharing_own_secret a sa', 'quiet sa']",4,246,1107,1295,3.350259,2.587,0.002052,6309,4.871814672,4,2,0,2,[],"['(= (@ep (""+ b [a]"") (= (secret_truth_value sa) 7)) ep.true)', '(= (@ep (""+ b [b]"") (= (shared_value sa) 8)) ep.true)']","['(= (@ep (""+ b [a]"") (= (secret_truth_value sa) 7)) ep.true)', '(= (@ep (""+ b [b]"") (= (shared_value sa) 8)) ep.true)']",25,new_syntax/grapevine/domain01.pddl,new_syntax/grapevine/problem101.pddl,2.657465219,19485,14,0.000136385,1,0,2,"['a', 'b']","['a', 'b', 'c']",3,0,0,0,0,4.495934959,13,grapevine,grapevine101,bfs,0.007651,3.693,/home/ghu2004/codes/research/PJP_results_linux/G2/bfs_grapevine_problem101.json,bfs_grapevine_problem101.json,G2
